model_1001;sentiment.by_day.csv;50;0.2;0;0.0;regressor;-14.998369766628228;3.1300984394896726e-27;5.443323071003104e-06;4.525641969914582e-06;5.011642953188022e-06;5.5135517577957555e-06
model_1003;sentiment.by_day.csv;50;0.2;0;0.2;regressor;1.4059277825532026;0.16287640064751374;4.4762454244122866e-06;4.417495276975762e-06;4.484077486831633e-06;4.592908301196282e-06
model_1005;sentiment.by_day.csv;50;0.2;0;0.3;regressor;2.084553642516901;0.03968376650809331;4.4357515406838655e-06;4.424409799520215e-06;4.438326907139852e-06;4.472302215308259e-06
model_1007;sentiment.by_day.csv;50;0.2;0;0.4;regressor;2.0214403687436886;0.045933287198662895;4.444201012513977e-06;4.44088940283334e-06;4.444913919692171e-06;4.453035854595262e-06
model_1009;sentiment.by_day.csv;50;0.2;0;0.5;regressor;-7.543297874296739;2.2520296201326937e-11;4.431533104426055e-06;4.4315328448215745e-06;4.431533023019929e-06;4.431533196430351e-06
model_1011;sentiment.by_day.csv;50;0.2;1;0.0;regressor;-7.42388589092484;4.023917673144889e-11;4.63092131515926e-06;4.294171503715916e-06;4.519337380770594e-06;4.774931160985337e-06
model_1013;sentiment.by_day.csv;50;0.2;1;0.2;regressor;1.3147064518332245;0.19164606546926907;4.435272330738371e-06;4.435272179155921e-06;4.435272346654528e-06;4.435272558112047e-06
model_1015;sentiment.by_day.csv;50;0.2;1;0.3;regressor;2.8737599485572014;0.0049643535368930685;4.4590567540581105e-06;4.45905660247566e-06;4.4590567881641615e-06;4.459056981431786e-06
model_1017;sentiment.by_day.csv;50;0.2;1;0.4;regressor;11.358531184761535;1.2248501785950135e-19;4.447977971722139e-06;4.447977971722139e-06;4.447978108904256e-06;4.447978274887039e-06
model_1019;sentiment.by_day.csv;50;0.2;1;0.5;regressor;3.0774718829535;0.0027004339121242905;4.4459832982587004e-06;4.445983146676251e-06;4.445983333880577e-06;4.445983601423602e-06
